label,slug,source,motion_json,features_npz,quality,duration,frames
địa chỉ,ia_chi,Dataset/Videos/D0001B.mp4,motions/ia_chi/d0001b.json,features/ia_chi/d0001b.npz,0.635,4.3377,60
địa chỉ,ia_chi,Dataset/Videos/D0001N.mp4,motions/ia_chi/d0001n.json,features/ia_chi/d0001n.npz,0.6041,4.4378,60
địa chỉ,ia_chi,Dataset/Videos/D0001T.mp4,motions/ia_chi/d0001t.json,features/ia_chi/d0001t.npz,0.6041,4.4378,60
tỉnh,tinh,Dataset/Videos/D0002.mp4,motions/tinh/d0002.json,features/tinh/d0002.npz,0.5733,6.1311,60
tiếp tân,tiep_tan,Dataset/Videos/D0003.mp4,motions/tiep_tan/d0003.json,features/tiep_tan/d0003.npz,0.649,4.1708,60
nhân viên,nhan_vien,Dataset/Videos/D0004.mp4,motions/nhan_vien/d0004.json,features/nhan_vien/d0004.npz,0.5476,4.1708,60
Miến Điện (nước Mi-an-ma),mien_ien_nuoc_mi_an_ma,Dataset/Videos/D0005B.mp4,motions/mien_ien_nuoc_mi_an_ma/d0005b.json,features/mien_ien_nuoc_mi_an_ma/d0005b.npz,0.4984,6.1395,60
Miến Điện (nước Mi-an-ma),mien_ien_nuoc_mi_an_ma,Dataset/Videos/D0005N.mp4,motions/mien_ien_nuoc_mi_an_ma/d0005n.json,features/mien_ien_nuoc_mi_an_ma/d0005n.npz,0.5011,7.1071,60
Miến Điện (nước Mi-an-ma),mien_ien_nuoc_mi_an_ma,Dataset/Videos/D0005T.mp4,motions/mien_ien_nuoc_mi_an_ma/d0005t.json,features/mien_ien_nuoc_mi_an_ma/d0005t.npz,0.5011,7.1071,60
Ma Cao,ma_cao,Dataset/Videos/D0006.mp4,motions/ma_cao/d0006.json,features/ma_cao/d0006.npz,0.5139,3.8372,60
Do Thái,do_thai,Dataset/Videos/D0007.mp4,motions/do_thai/d0007.json,features/do_thai/d0007.npz,0.6425,5.005,60
Ả Rập (nước Ả Rập),a_rap_nuoc_a_rap,Dataset/Videos/D0008.mp4,motions/a_rap_nuoc_a_rap/d0008.json,features/a_rap_nuoc_a_rap/d0008.npz,0.5174,3.3033,60
phương Tây,phuong_tay,Dataset/Videos/D0009.mp4,motions/phuong_tay/d0009.json,features/phuong_tay/d0009.npz,0.5174,3.3033,60
phương Đông,phuong_ong,Dataset/Videos/D0010.mp4,motions/phuong_ong/d0010.json,features/phuong_ong/d0010.npz,0.4867,4.2042,60
Đu Bai (nước Đu Bai),u_bai_nuoc_u_bai,Dataset/Videos/D0011.mp4,motions/u_bai_nuoc_u_bai/d0011.json,features/u_bai_nuoc_u_bai/d0011.npz,0.714,3.3367,60
Albania (nước Albania),albania_nuoc_albania,Dataset/Videos/D0012.mp4,motions/albania_nuoc_albania/d0012.json,features/albania_nuoc_albania/d0012.npz,0.6324,4.8382,60
người nước ngoài,nguoi_nuoc_ngoai,Dataset/Videos/D0013.mp4,motions/nguoi_nuoc_ngoai/d0013.json,features/nguoi_nuoc_ngoai/d0013.npz,0.4925,3.8038,60
nhập khẩu,nhap_khau,Dataset/Videos/D0014.mp4,motions/nhap_khau/d0014.json,features/nhap_khau/d0014.npz,0.675,4.5712,60
Tuy Hoà,tuy_hoa,Dataset/Videos/D0015.mp4,motions/tuy_hoa/d0015.json,features/tuy_hoa/d0015.npz,0.5371,4.638,60
Quy Nhơn,quy_nhon,Dataset/Videos/D0016.mp4,motions/quy_nhon/d0016.json,features/quy_nhon/d0016.npz,0.6888,3.9373,60
hấp dẫn,hap_dan,Dataset/Videos/D0017.mp4,motions/hap_dan/d0017.json,features/hap_dan/d0017.npz,0.5563,3.8372,60
nổi da gà,noi_da_ga,Dataset/Videos/D0018.mp4,motions/noi_da_ga/d0018.json,features/noi_da_ga/d0018.npz,0.6864,4.7714,60
ghen tị,ghen_ti,Dataset/Videos/D0019B.mp4,motions/ghen_ti/d0019b.json,features/ghen_ti/d0019b.npz,0.5079,3.5702,60
ghen tị,ghen_ti,Dataset/Videos/D0019N.mp4,motions/ghen_ti/d0019n.json,features/ghen_ti/d0019n.npz,0.524,4.2376,60
ghen tị,ghen_ti,Dataset/Videos/D0019T.mp4,motions/ghen_ti/d0019t.json,features/ghen_ti/d0019t.npz,0.5215,4.2376,60
lung tung,lung_tung,Dataset/Videos/D0020B.mp4,motions/lung_tung/d0020b.json,features/lung_tung/d0020b.npz,0.6006,4.371,60
lung tung,lung_tung,Dataset/Videos/D0020N.mp4,motions/lung_tung/d0020n.json,features/lung_tung/d0020n.npz,0.9422,3.003,60
lung tung,lung_tung,Dataset/Videos/D0020T.mp4,motions/lung_tung/d0020t.json,features/lung_tung/d0020t.npz,0.613,8.5752,60
hói đầu,hoi_au,Dataset/Videos/D0021.mp4,motions/hoi_au/d0021.json,features/hoi_au/d0021.npz,0.545,4.004,60
cười nhếch mép,cuoi_nhech_mep,Dataset/Videos/D0022.mp4,motions/cuoi_nhech_mep/d0022.json,features/cuoi_nhech_mep/d0022.npz,0.3535,3.1031,60
cười vỡ bụng,cuoi_vo_bung,Dataset/Videos/D0023.mp4,motions/cuoi_vo_bung/d0023.json,features/cuoi_vo_bung/d0023.npz,0.6583,3.9039,60
tham ăn,tham_an,Dataset/Videos/D0024B.mp4,motions/tham_an/d0024b.json,features/tham_an/d0024b.npz,0.9664,5.8058,60
tham ăn,tham_an,Dataset/Videos/D0024N.mp4,motions/tham_an/d0024n.json,features/tham_an/d0024n.npz,0.984,6.1061,60
tham ăn,tham_an,Dataset/Videos/D0024T.mp4,motions/tham_an/d0024t.json,features/tham_an/d0024t.npz,0.984,6.1061,60
thèm,them,Dataset/Videos/D0026.mp4,motions/them/d0026.json,features/them/d0026.npz,0.5248,4.8382,60
thèm rỏ dãi,them_ro_dai,Dataset/Videos/D0027.mp4,motions/them_ro_dai/d0027.json,features/them_ro_dai/d0027.npz,0.9874,4.3043,60
đứng đầu (hàng đầu),ung_au_hang_au,Dataset/Videos/D0028.mp4,motions/ung_au_hang_au/d0028.json,features/ung_au_hang_au/d0028.npz,0.9768,3.2699,60
thói quen,thoi_quen,Dataset/Videos/D0029B.mp4,motions/thoi_quen/d0029b.json,features/thoi_quen/d0029b.npz,0.5138,4.3043,60
thói quen,thoi_quen,Dataset/Videos/D0029N.mp4,motions/thoi_quen/d0029n.json,features/thoi_quen/d0029n.npz,0.4944,3.9039,60
thói quen,thoi_quen,Dataset/Videos/D0029T.mp4,motions/thoi_quen/d0029t.json,features/thoi_quen/d0029t.npz,0.4944,3.9039,60
khuyến khích,khuyen_khich,Dataset/Videos/D0030.mp4,motions/khuyen_khich/d0030.json,features/khuyen_khich/d0030.npz,0.6507,4.4711,60
không nghe lời,khong_nghe_loi,Dataset/Videos/D0031B.mp4,motions/khong_nghe_loi/d0031b.json,features/khong_nghe_loi/d0031b.npz,0.4701,4.6046,60
không nghe lời,khong_nghe_loi,Dataset/Videos/D0031N.mp4,motions/khong_nghe_loi/d0031n.json,features/khong_nghe_loi/d0031n.npz,0.9832,3.2366,60
không nghe lời,khong_nghe_loi,Dataset/Videos/D0031T.mp4,motions/khong_nghe_loi/d0031t.json,features/khong_nghe_loi/d0031t.npz,0.9866,3.2366,60
ai cho,ai_cho,Dataset/Videos/D0032.mp4,motions/ai_cho/d0032.json,features/ai_cho/d0032.npz,0.4783,3.8038,60
không cho,khong_cho,Dataset/Videos/D0033B.mp4,motions/khong_cho/d0033b.json,features/khong_cho/d0033b.npz,0.4759,3.7037,60
không cho,khong_cho,Dataset/Videos/D0033N.mp4,motions/khong_cho/d0033n.json,features/khong_cho/d0033n.npz,0.4722,4.1708,60
không cho,khong_cho,Dataset/Videos/D0033T.mp4,motions/khong_cho/d0033t.json,features/khong_cho/d0033t.npz,0.4722,4.1708,60
không cần,khong_can,Dataset/Videos/D0034.mp4,motions/khong_can/d0034.json,features/khong_can/d0034.npz,0.6344,3.4701,60
không nên,khong_nen,Dataset/Videos/D0035B.mp4,motions/khong_nen/d0035b.json,features/khong_nen/d0035b.npz,0.9765,2.7694,60
không nên,khong_nen,Dataset/Videos/D0035N.mp4,motions/khong_nen/d0035n.json,features/khong_nen/d0035n.npz,0.9761,3.1698,60
không nên,khong_nen,Dataset/Videos/D0035T.mp4,motions/khong_nen/d0035t.json,features/khong_nen/d0035t.npz,0.9813,2.9029,60
bực mình,buc_minh,Dataset/Videos/D0036.mp4,motions/buc_minh/d0036.json,features/buc_minh/d0036.npz,0.4614,4.6713,60
tự giác,tu_giac,Dataset/Videos/D0037.mp4,motions/tu_giac/d0037.json,features/tu_giac/d0037.npz,0.5259,3.637,60
mù chữ,mu_chu,Dataset/Videos/D0038.mp4,motions/mu_chu/d0038.json,features/mu_chu/d0038.npz,0.526,4.8048,60
vô tình,vo_tinh,Dataset/Videos/D0039.mp4,motions/vo_tinh/d0039.json,features/vo_tinh/d0039.npz,0.4879,4.638,60
Tết hàn thực,tet_han_thuc,Dataset/Videos/D0040B.mp4,motions/tet_han_thuc/d0040b.json,features/tet_han_thuc/d0040b.npz,0.9783,4.004,60
Tết hàn thực,tet_han_thuc,Dataset/Videos/D0040N.mp4,motions/tet_han_thuc/d0040n.json,features/tet_han_thuc/d0040n.npz,0.954,3.3033,60
Tết hàn thực,tet_han_thuc,Dataset/Videos/D0040T.mp4,motions/tet_han_thuc/d0040t.json,features/tet_han_thuc/d0040t.npz,0.9551,4.1041,60
giỗ,gio,Dataset/Videos/D0041.mp4,motions/gio/d0041.json,features/gio/d0041.npz,0.809,3.2366,60
ngày Quốc tế phụ nữ 8/3,ngay_quoc_te_phu_nu_8_3,Dataset/Videos/D0042B.mp4,motions/ngay_quoc_te_phu_nu_8_3/d0042b.json,features/ngay_quoc_te_phu_nu_8_3/d0042b.npz,0.9743,4.638,60
ngày Quốc tế phụ nữ 8/3,ngay_quoc_te_phu_nu_8_3,Dataset/Videos/D0042N.mp4,motions/ngay_quoc_te_phu_nu_8_3/d0042n.json,features/ngay_quoc_te_phu_nu_8_3/d0042n.npz,0.9727,4.371,60
ngày Quốc tế phụ nữ 8/3,ngay_quoc_te_phu_nu_8_3,Dataset/Videos/D0042T.mp4,motions/ngay_quoc_te_phu_nu_8_3/d0042t.json,features/ngay_quoc_te_phu_nu_8_3/d0042t.npz,0.9675,4.6713,60
ngày giải phóng thủ đô 10/10,ngay_giai_phong_thu_o_10_10,Dataset/Videos/D0043B.mp4,motions/ngay_giai_phong_thu_o_10_10/d0043b.json,features/ngay_giai_phong_thu_o_10_10/d0043b.npz,0.9705,5.5055,60
ngày giải phóng thủ đô 10/10,ngay_giai_phong_thu_o_10_10,Dataset/Videos/D0043N.mp4,motions/ngay_giai_phong_thu_o_10_10/d0043n.json,features/ngay_giai_phong_thu_o_10_10/d0043n.npz,0.9559,4.6713,60
ngày giải phóng thủ đô 10/10,ngay_giai_phong_thu_o_10_10,Dataset/Videos/D0043T.mp4,motions/ngay_giai_phong_thu_o_10_10/d0043t.json,features/ngay_giai_phong_thu_o_10_10/d0043t.npz,0.9685,5.5055,60
ngày Giải phóng miền Nam 30/4,ngay_giai_phong_mien_nam_30_4,Dataset/Videos/D0044B.mp4,motions/ngay_giai_phong_mien_nam_30_4/d0044b.json,features/ngay_giai_phong_mien_nam_30_4/d0044b.npz,0.933,4.371,60
ngày Giải phóng miền Nam 30/4,ngay_giai_phong_mien_nam_30_4,Dataset/Videos/D0044N.mp4,motions/ngay_giai_phong_mien_nam_30_4/d0044n.json,features/ngay_giai_phong_mien_nam_30_4/d0044n.npz,0.9578,5.1385,60
ngày Giải phóng miền Nam 30/4,ngay_giai_phong_mien_nam_30_4,Dataset/Videos/D0044T.mp4,motions/ngay_giai_phong_mien_nam_30_4/d0044t.json,features/ngay_giai_phong_mien_nam_30_4/d0044t.npz,0.938,4.371,60
ngày Người khuyết tật Việt Nam 18/4,ngay_nguoi_khuyet_tat_viet_nam_18_4,Dataset/Videos/D0045B.mp4,motions/ngay_nguoi_khuyet_tat_viet_nam_18_4/d0045b.json,features/ngay_nguoi_khuyet_tat_viet_nam_18_4/d0045b.npz,0.9645,3.9706,60
ngày Người khuyết tật Việt Nam 18/4,ngay_nguoi_khuyet_tat_viet_nam_18_4,Dataset/Videos/D0045N.mp4,motions/ngay_nguoi_khuyet_tat_viet_nam_18_4/d0045n.json,features/ngay_nguoi_khuyet_tat_viet_nam_18_4/d0045n.npz,0.9805,5.005,60
ngày Người khuyết tật Việt Nam 18/4,ngay_nguoi_khuyet_tat_viet_nam_18_4,Dataset/Videos/D0045T.mp4,motions/ngay_nguoi_khuyet_tat_viet_nam_18_4/d0045t.json,features/ngay_nguoi_khuyet_tat_viet_nam_18_4/d0045t.npz,0.9826,4.9716,60
ngày Người khuyết tật Thế giới 3/12,ngay_nguoi_khuyet_tat_the_gioi_3_12,Dataset/Videos/D0046B.mp4,motions/ngay_nguoi_khuyet_tat_the_gioi_3_12/d0046b.json,features/ngay_nguoi_khuyet_tat_the_gioi_3_12/d0046b.npz,0.9479,6.2396,60
ngày Người khuyết tật Thế giới 3/12,ngay_nguoi_khuyet_tat_the_gioi_3_12,Dataset/Videos/D0046N.mp4,motions/ngay_nguoi_khuyet_tat_the_gioi_3_12/d0046n.json,features/ngay_nguoi_khuyet_tat_the_gioi_3_12/d0046n.npz,0.9633,4.1375,60
ngày Người khuyết tật Thế giới 3/12,ngay_nguoi_khuyet_tat_the_gioi_3_12,Dataset/Videos/D0046T.mp4,motions/ngay_nguoi_khuyet_tat_the_gioi_3_12/d0046t.json,features/ngay_nguoi_khuyet_tat_the_gioi_3_12/d0046t.npz,0.9634,4.7381,60
